Datetime,Turbidity,Reading,Value,Unit,Data Quality
2025-05-12 15:55:49,31.46,2025-05-12 15:54:23,80.31,in,A
2025-05-12 16:40:49,32.59,2025-05-12 16:54:23,80.31,in,A
2025-05-12 16:55:49,31.68,2025-05-12 16:54:23,80.31,in,A
2025-05-12 17:40:49,31.4,2025-05-12 17:54:23,80.31,in,A
2025-05-13 06:55:52,32.03,2025-05-13 06:54:23,80.31,in,A
2025-05-13 07:40:51,32.44,2025-05-13 07:54:23,80.31,in,A
2025-05-13 07:55:51,31.82,2025-05-13 07:54:23,80.31,in,A
2025-05-13 08:40:51,32.52,2025-05-13 08:54:23,80.31,in,A
2025-05-13 08:55:52,32.39,2025-05-13 08:54:23,80.31,in,A
2025-05-13 09:40:52,33.63,2025-05-13 09:54:23,80.31,in,A
2025-05-13 09:55:51,32.94,2025-05-13 09:54:23,80.31,in,A
2025-05-13 10:40:52,32.8,2025-05-13 10:54:23,80.31,in,A
2025-05-13 10:55:52,33.14,2025-05-13 10:54:23,80.31,in,A
2025-05-13 11:40:52,32.56,2025-05-13 11:54:23,80.31,in,A
2025-05-13 11:55:51,32.75,2025-05-13 11:54:23,80.31,in,A
2025-05-13 12:40:51,33.04,2025-05-13 12:54:23,80.31,in,A
2025-05-13 12:55:51,32.21,2025-05-13 12:54:23,80.31,in,A
2025-05-13 13:40:51,31.91,2025-05-13 13:54:23,80.31,in,A
2025-05-13 13:55:51,32.48,2025-05-13 13:54:23,80.31,in,A
2025-05-13 14:40:52,30.99,2025-05-13 14:54:23,80.31,in,A
2025-05-13 14:55:52,33.02,2025-05-13 14:54:23,80.31,in,A
2025-05-13 15:40:51,32.0,2025-05-13 15:54:23,80.31,in,A
2025-05-13 15:55:51,32.03,2025-05-13 15:54:23,80.31,in,A
2025-05-13 16:40:52,31.91,2025-05-13 16:54:23,80.31,in,A
2025-05-13 16:55:51,32.54,2025-05-13 16:54:23,80.31,in,A
2025-05-13 17:40:51,32.72,2025-05-13 17:54:23,80.31,in,A
2025-05-14 06:55:54,31.01,2025-05-14 06:54:23,80.31,in,A
2025-05-14 07:40:55,32.24,2025-05-14 07:54:23,80.31,in,A
2025-05-14 07:55:54,31.91,2025-05-14 07:54:23,80.31,in,A
2025-05-14 08:40:54,33.87,2025-05-14 08:54:23,80.31,in,A
2025-05-14 08:55:54,31.91,2025-05-14 08:54:23,80.31,in,A
2025-05-14 09:40:54,33.64,2025-05-14 09:54:23,80.31,in,A
2025-05-14 09:55:55,32.58,2025-05-14 09:54:23,80.31,in,A
2025-05-14 10:40:54,33.35,2025-05-14 10:54:23,80.31,in,A
2025-05-14 10:50:40,33.35,2025-05-14 10:54:23,80.31,in,A
2025-05-14 11:40:54,33.1,2025-05-14 11:54:23,80.31,in,A
2025-05-14 11:41:53,33.1,2025-05-14 11:54:23,80.31,in,A
2025-05-14 11:55:54,32.37,2025-05-14 11:54:23,80.31,in,A
2025-05-14 11:59:06,32.37,2025-05-14 11:54:23,80.31,in,A
2025-05-14 12:02:00,32.37,2025-05-14 11:54:23,80.31,in,A
2025-05-14 12:40:54,32.78,2025-05-14 12:54:23,80.31,in,A
2025-05-14 12:43:07,32.78,2025-05-14 12:54:23,80.31,in,A
2025-05-14 12:54:32,32.54,2025-05-14 12:54:23,80.31,in,A
2025-05-14 12:55:54,32.54,2025-05-14 12:54:23,80.31,in,A
2025-05-14 13:03:05,32.54,2025-05-14 12:54:23,80.31,in,A
2025-05-14 13:40:55,32.68,2025-05-14 13:54:23,80.31,in,A
2025-05-14 13:48:48,32.68,2025-05-14 13:54:23,80.31,in,A
2025-05-14 13:55:55,32.57,2025-05-14 13:54:23,80.31,in,A
2025-05-14 14:40:54,32.52,2025-05-14 14:54:23,80.31,in,A
2025-05-14 14:47:46,32.52,2025-05-14 14:54:23,80.31,in,A
2025-05-14 14:55:54,32.85,2025-05-14 14:54:23,80.31,in,A
2025-05-14 15:40:09,33.69,2025-05-14 15:54:23,80.31,in,A
2025-05-14 15:40:54,33.69,2025-05-14 15:54:23,80.31,in,A
2025-05-14 16:40:55,31.87,2025-05-14 16:54:23,80.31,in,A
2025-05-14 16:55:55,33.15,2025-05-14 16:54:23,80.31,in,A
2025-05-14 17:04:29,33.15,2025-05-14 16:54:23,80.31,in,A
2025-05-14 17:40:55,32.68,2025-05-14 17:54:23,80.31,in,A
2025-05-15 06:55:56,32.51,2025-05-15 06:54:23,80.31,in,A
2025-05-15 07:40:57,31.77,2025-05-15 07:54:23,80.31,in,A
2025-05-15 07:55:56,32.05,2025-05-15 07:54:23,80.31,in,A
2025-05-15 08:40:56,34.19,2025-05-15 08:54:23,80.31,in,A
2025-05-15 08:55:56,31.94,2025-05-15 08:54:23,80.31,in,A
2025-05-15 09:40:56,33.29,2025-05-15 09:54:23,80.31,in,A
2025-05-15 09:55:57,32.16,2025-05-15 09:54:23,80.31,in,A
2025-05-15 10:40:57,32.62,2025-05-15 10:54:23,80.31,in,A
2025-05-15 10:55:57,33.59,2025-05-15 10:54:23,80.31,in,A
2025-05-15 11:40:58,34.02,2025-05-15 11:54:23,80.31,in,A
2025-05-15 11:55:57,33.18,2025-05-15 11:54:23,80.31,in,A
2025-05-15 12:09:10,33.77,2025-05-15 11:54:23,80.31,in,A
2025-05-15 12:40:57,33.59,2025-05-15 12:54:23,80.31,in,A
2025-05-15 13:40:57,33.59,2025-05-15 13:54:23,80.31,in,A
2025-05-15 13:55:57,33.5,2025-05-15 13:54:23,80.31,in,A
2025-05-15 14:40:16,33.07,2025-05-15 14:54:23,80.31,in,A
2025-05-15 14:40:57,33.07,2025-05-15 14:54:23,80.31,in,A
2025-05-15 14:48:56,33.07,2025-05-15 14:54:23,80.31,in,A
2025-05-15 14:55:57,32.53,2025-05-15 14:54:23,80.31,in,A
2025-05-15 15:40:57,33.8,2025-05-15 15:54:23,80.31,in,A
2025-05-15 15:55:58,32.35,2025-05-15 15:54:23,80.31,in,A
2025-05-15 16:40:57,34.21,2025-05-15 16:54:23,80.31,in,A
2025-05-15 16:55:57,32.56,2025-05-15 16:54:23,80.31,in,A
2025-05-15 17:40:58,31.27,2025-05-15 17:54:23,80.31,in,A
2025-05-16 06:55:59,32.05,2025-05-16 06:54:23,80.31,in,A
2025-05-16 07:40:59,31.73,2025-05-16 07:54:23,80.31,in,A
2025-05-16 07:55:59,33.42,2025-05-16 07:54:23,80.31,in,A
2025-05-16 08:40:59,33.79,2025-05-16 08:54:23,80.31,in,A
2025-05-16 09:41:00,33.85,2025-05-16 09:54:23,80.31,in,A
2025-05-16 09:56:00,32.37,2025-05-16 09:54:23,80.31,in,A
2025-05-16 10:41:00,39.19,2025-05-16 10:54:23,80.31,in,A
2025-05-16 10:56:01,33.35,2025-05-16 10:54:23,80.31,in,A
2025-05-16 11:41:01,34.49,2025-05-16 11:54:23,80.31,in,A
2025-05-16 11:56:01,33.9,2025-05-16 11:54:23,80.31,in,A
2025-05-16 12:41:02,33.64,2025-05-16 12:54:23,80.31,in,A
2025-05-16 12:56:02,33.62,2025-05-16 12:54:23,80.31,in,A
2025-05-16 13:41:02,34.75,2025-05-16 13:54:23,80.31,in,A
2025-05-16 13:56:02,33.57,2025-05-16 13:54:23,80.31,in,A
2025-05-16 14:41:03,33.59,2025-05-16 14:54:23,80.31,in,A
2025-05-16 14:56:03,33.94,2025-05-16 14:54:23,80.31,in,A
2025-05-16 15:41:03,31.97,2025-05-16 15:54:23,80.31,in,A
2025-05-16 15:56:03,33.55,2025-05-16 15:54:23,80.31,in,A
2025-05-16 16:41:03,32.62,2025-05-16 16:54:23,80.31,in,A
2025-05-16 17:41:03,34.72,2025-05-16 17:54:23,80.31,in,A
2025-05-17 06:56:05,32.78,2025-05-17 06:54:23,80.31,in,A
2025-05-17 07:41:04,32.59,2025-05-17 07:54:23,80.31,in,A
2025-05-17 07:56:05,32.92,2025-05-17 07:54:23,80.31,in,A
2025-05-17 08:41:05,33.87,2025-05-17 08:54:23,80.31,in,A
2025-05-17 08:56:01,33.44,2025-05-17 08:54:23,80.31,in,A
2025-05-17 09:41:05,33.01,2025-05-17 09:54:23,80.31,in,A
2025-05-17 10:41:05,33.23,2025-05-17 10:54:23,80.31,in,A
2025-05-17 11:41:05,34.49,2025-05-17 11:54:23,80.31,in,A
2025-05-17 12:41:06,33.02,2025-05-17 12:54:23,80.31,in,A
2025-05-17 13:41:07,33.11,2025-05-17 13:54:23,80.31,in,A
2025-05-17 13:56:06,33.44,2025-05-17 13:54:23,80.31,in,A
2025-05-17 14:41:07,33.47,2025-05-17 14:54:23,80.31,in,A
2025-05-17 15:41:07,33.77,2025-05-17 15:54:23,80.31,in,A
2025-05-17 15:56:07,33.4,2025-05-17 15:54:23,80.31,in,A
2025-05-17 16:41:08,33.1,2025-05-17 16:54:23,80.31,in,A
2025-05-17 16:56:07,33.0,2025-05-17 16:54:23,80.31,in,A
2025-05-17 17:41:07,33.64,2025-05-17 17:54:23,80.31,in,A
2025-05-18 06:56:13,33.35,2025-05-18 06:54:23,80.31,in,A
2025-05-18 07:41:14,32.17,2025-05-18 07:54:23,80.31,in,A
2025-05-18 07:56:14,33.21,2025-05-18 07:54:23,80.31,in,A
2025-05-18 08:41:14,31.77,2025-05-18 08:54:23,80.31,in,A
2025-05-18 08:56:14,33.28,2025-05-18 08:54:23,80.31,in,A
2025-05-18 09:41:15,33.21,2025-05-18 09:54:23,80.31,in,A
2025-05-18 09:56:15,33.38,2025-05-18 09:54:23,80.31,in,A
2025-05-18 10:41:14,33.97,2025-05-18 10:54:23,80.31,in,A
2025-05-18 11:41:15,34.03,2025-05-18 11:54:23,80.31,in,A
2025-05-18 12:41:14,34.31,2025-05-18 12:54:23,80.31,in,A
