Datetime,Turbidity,RoundedTime,Receive,Value,Unit,Data Quality
2025-05-09 15:10:30,33.08,2025-05-09 15:15:00,,,,
2025-05-09 15:25:30,33.39,2025-05-09 15:30:00,,,,
2025-05-09 15:40:30,31.91,2025-05-09 15:45:00,,,,
2025-05-09 15:55:29,33.39,2025-05-09 16:00:00,,,,
2025-05-09 16:10:29,34.16,2025-05-09 16:15:00,,,,
2025-05-09 16:25:29,32.73,2025-05-09 16:30:00,,,,
2025-05-09 16:40:29,32.78,2025-05-09 16:45:00,,,,
2025-05-09 16:55:29,32.7,2025-05-09 17:00:00,,,,
2025-05-09 17:10:30,33.36,2025-05-09 17:15:00,,,,
2025-05-09 17:25:30,33.06,2025-05-09 17:30:00,,,,
2025-05-09 17:40:30,32.96,2025-05-09 17:45:00,,,,
2025-05-10 06:55:33,30.97,2025-05-10 07:00:00,,,,
2025-05-10 07:10:33,32.03,2025-05-10 07:15:00,,,,
2025-05-10 07:25:33,32.87,2025-05-10 07:30:00,,,,
2025-05-10 07:40:33,31.18,2025-05-10 07:45:00,,,,
2025-05-10 07:55:33,32.56,2025-05-10 08:00:00,,,,
2025-05-10 08:10:33,31.48,2025-05-10 08:15:00,,,,
2025-05-10 08:25:33,33.37,2025-05-10 08:30:00,,,,
2025-05-10 08:40:33,32.36,2025-05-10 08:45:00,,,,
2025-05-10 08:55:33,33.06,2025-05-10 09:00:00,,,,
2025-05-10 09:10:33,33.74,2025-05-10 09:15:00,,,,
2025-05-10 09:25:33,31.1,2025-05-10 09:30:00,,,,
2025-05-10 09:40:33,31.82,2025-05-10 09:45:00,,,,
2025-05-10 09:55:33,33.12,2025-05-10 10:00:00,,,,
2025-05-10 10:10:33,33.57,2025-05-10 10:15:00,,,,
2025-05-10 10:25:33,33.68,2025-05-10 10:30:00,,,,
2025-05-10 10:40:33,33.61,2025-05-10 10:45:00,,,,
2025-05-10 10:55:34,33.67,2025-05-10 11:00:00,,,,
2025-05-10 11:10:34,32.78,2025-05-10 11:15:00,,,,
2025-05-10 11:25:34,33.91,2025-05-10 11:30:00,,,,
2025-05-10 11:40:34,33.54,2025-05-10 11:45:00,,,,
2025-05-10 11:55:33,32.8,2025-05-10 12:00:00,,,,
2025-05-10 12:10:33,32.85,2025-05-10 12:15:00,,,,
2025-05-10 12:25:33,33.23,2025-05-10 12:30:00,,,,
2025-05-10 12:40:33,32.98,2025-05-10 12:45:00,,,,
2025-05-10 12:55:34,32.59,2025-05-10 13:00:00,,,,
2025-05-10 13:10:33,32.34,2025-05-10 13:15:00,,,,
2025-05-10 13:25:33,33.36,2025-05-10 13:30:00,,,,
2025-05-10 13:40:33,32.91,2025-05-10 13:45:00,,,,
2025-05-10 13:55:33,33.03,2025-05-10 14:00:00,,,,
2025-05-10 14:10:33,33.52,2025-05-10 14:15:00,,,,
2025-05-10 14:25:34,34.32,2025-05-10 14:30:00,,,,
2025-05-10 14:40:34,34.15,2025-05-10 14:45:00,,,,
2025-05-10 14:55:33,32.03,2025-05-10 15:00:00,,,,
2025-05-10 15:10:33,33.43,2025-05-10 15:15:00,,,,
2025-05-10 15:25:34,33.17,2025-05-10 15:30:00,,,,
2025-05-10 15:40:34,32.98,2025-05-10 15:45:00,,,,
2025-05-10 15:55:34,33.06,2025-05-10 16:00:00,,,,
2025-05-10 16:10:34,33.37,2025-05-10 16:15:00,,,,
2025-05-10 16:25:34,32.87,2025-05-10 16:30:00,,,,
2025-05-10 16:40:34,33.82,2025-05-10 16:45:00,,,,
2025-05-10 16:55:34,33.41,2025-05-10 17:00:00,,,,
2025-05-10 17:10:34,33.58,2025-05-10 17:15:00,,,,
2025-05-10 17:25:35,33.71,2025-05-10 17:30:00,,,,
2025-05-10 17:40:35,32.84,2025-05-10 17:45:00,,,,
2025-05-11 06:55:40,31.52,2025-05-11 07:00:00,,,,
